2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | [end of libtorchcodec loading traceback].\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | OSError: libnvrtc.so.13: cannot open shared object file: No such file or directory\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |                    ^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     self._handle = _dlopen(self._name, mode)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/lib/python3.11/ctypes/__init__.py", line 376, in __init__\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     ctypes.CDLL(path)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torch/_ops.py", line 1295, in load_library\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     torch.ops.load_library(core_library_path)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torchcodec/_internally_replaced_utils.py", line 93, in load_torchcodec_shared_libraries\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | Traceback (most recent call last):\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | FFmpeg version 4:\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | \n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | OSError: libnvrtc.so.13: cannot open shared object file: No such file or directory\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |                    ^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     self._handle = _dlopen(self._name, mode)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/lib/python3.11/ctypes/__init__.py", line 376, in __init__\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     ctypes.CDLL(path)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torch/_ops.py", line 1295, in load_library\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     torch.ops.load_library(core_library_path)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torchcodec/_internally_replaced_utils.py", line 93, in load_torchcodec_shared_libraries\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | Traceback (most recent call last):\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | FFmpeg version 5:\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | \n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 | OSError: libnvrtc.so.13: cannot open shared object file: No such file or directory\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |                    ^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |     self._handle = _dlopen(self._name, mode)\n
2026-04-04  03:43:54.480 | info | 557p3wxxdt2dk3 |   File "/usr/lib/python3.11/ctypes/__init__.py", line 376, in __init__\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     ctypes.CDLL(path)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torch/_ops.py", line 1295, in load_library\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     torch.ops.load_library(core_library_path)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torchcodec/_internally_replaced_utils.py", line 93, in load_torchcodec_shared_libraries\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | Traceback (most recent call last):\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | FFmpeg version 6:\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | \n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | OSError: libnvrtc.so.13: cannot open shared object file: No such file or directory\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |                    ^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     self._handle = _dlopen(self._name, mode)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/lib/python3.11/ctypes/__init__.py", line 376, in __init__\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     ctypes.CDLL(path)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torch/_ops.py", line 1295, in load_library\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     torch.ops.load_library(core_library_path)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torchcodec/_internally_replaced_utils.py", line 93, in load_torchcodec_shared_libraries\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | Traceback (most recent call last):\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | FFmpeg version 7:\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | \n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | OSError: libnvrtc.so.13: cannot open shared object file: No such file or directory\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |                    ^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     self._handle = _dlopen(self._name, mode)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/lib/python3.11/ctypes/__init__.py", line 376, in __init__\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     ctypes.CDLL(path)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torch/_ops.py", line 1295, in load_library\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |     torch.ops.load_library(core_library_path)\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |   File "/usr/local/lib/python3.11/dist-packages/torchcodec/_internally_replaced_utils.py", line 93, in load_torchcodec_shared_libraries\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | Traceback (most recent call last):\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | FFmpeg version 8:\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | [start of libtorchcodec loading traceback]\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |         \n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 |         The following exceptions were raised as we tried to load libtorchcodec:\n
2026-04-04  03:43:54.479 | info | 557p3wxxdt2dk3 | \n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |           3. Another runtime dependency; see exceptions below.\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              https://github.com/pytorch/torchcodec?tab=readme-ov-file#installing-torchcodec.\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              table:\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              this version of TorchCodec. Refer to the version compatibility\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |           2. The PyTorch version (2.4.0+cu124) is not compatible with\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              "full-shared" version which ships DLLs.\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              version is relevant. On Windows, ensure you've installed the\n
